,0
0,2596564
1,2923622
2,3119493
3,5077980
4,6920001
5,7945933
6,9016705
7,9386902
8,9540736
9,9628200
10,9917139
11,10165792
12,10712658
13,10719362
14,10929563
15,10951968
16,11357532
17,11433705
18,11437510
19,11579070
20,11683319
21,11766448
22,11978717
23,12201471
24,12253083
25,12319618
26,12946101
27,13147571
28,13303368
29,13352056
30,13519978
31,13708333
32,13852347
33,14028002
34,14472567
35,14551478
36,15151289
37,15535674
38,15558142
39,16501731
40,16823124
41,17029740
42,17082459
43,17139458
44,17310912
45,17428273
46,17432667
47,17514192
48,17623253
49,17699933
50,17744095
51,17951487
52,17955126
53,18022547
54,18294837
55,18304061
56,18606491
57,18670467
58,18762597
59,19091581
60,19140632
61,19230704
62,19292008
63,19345259
64,19364198
65,19605117
66,19745917
67,19864748
68,19891092
69,20638830
70,20723908
71,20757028
72,21043319
73,21087495
74,21223068
75,21372805
76,21451964
77,21456231
78,21613066
79,21749963
80,21812787
81,22076198
82,22209502
83,22293023
84,22574948
85,22709323
86,22786244
87,23093960
88,23347908
89,23730259
90,23754880
91,23798903
92,23910082
93,23922479
94,24327529
95,24427360
96,25085864
97,25095267
98,25129871
99,25387905
100,25410035
101,25523559
102,25531620
103,25596883
104,26373773
105,26636700
106,26669551
107,26778710
108,26841875
109,27319613
110,27504300
111,27861722
112,28194971
113,28264650
114,28387477
115,28439235
116,28457598
117,28475954
118,28780303
119,28791299
120,28860916
121,28917976
122,29100639
123,29234647
124,29305744
125,29435409
126,29453892
127,29496030
128,29609746
129,29792232
130,29800469
131,29862093
132,29912714
133,29940289
134,30038606
135,30316926
136,30378611
137,30436404
138,30453628
139,30542122
140,30550611
141,30599825
142,30619803
143,30771625
144,31048228
145,31091470
146,31129497
147,31472571
148,31534117
149,31992755
150,32114779
151,32289439
152,32349749
153,32416024
154,32612833
155,32984984
156,33127316
157,33168808
158,33198220
159,33339987
160,33534566
161,33687119
162,33853796
163,34072791
164,34484418
165,34634081
166,34689310
167,34888907
168,35089599
169,35477885
170,35529178
171,35721141
172,36135833
173,36160811
174,36253675
175,36364207
176,36377942
177,36467325
178,36934459
179,37111747
180,37393717
181,37462297
182,37551262
183,37569975
184,37633753
185,37666496
186,37801346
187,37835225
188,38359436
189,38476559
190,38688725
191,38950885
192,39223006
193,39304356
194,39311106
195,39333484
196,39504143
197,39840827
198,40048749
199,40151847
200,40222006
201,40320768
202,40383384
203,40426629
204,40642209
205,41091475
206,41354777
207,41645707
208,41771711
209,41844834
210,41900668
211,42099443
212,42146614
213,42204916
214,42496326
215,43041320
216,43342359
217,43436127
218,43812863
219,43851665
220,44021641
221,44188973
222,44860980
223,45053366
224,45634401
225,45697711
226,45818421
227,46533863
228,46685905
229,47252333
230,48060056
231,48415739
232,48416508
233,48587627
234,48806282
235,49527183
236,49652160
237,49716775
238,50091370
239,50234739
240,50236357
241,50320955
242,50341053
243,50583247
244,50586462
245,50705667
246,51156830
247,51224348
248,51331920
249,51333348
250,51419337
251,51502183
252,51662285
253,51739270
254,51751413
255,52007783
256,52047046
257,52135965
258,52222359
259,52288691
260,52332594
261,52404389
262,52410376
263,53119365
264,53414627
265,53849452
266,54035763
267,54058533
268,54091629
269,54254431
270,54449813
271,54500199
272,54503032
273,54725223
274,54919222
275,54962510
276,55029520
277,55164522
278,55450907
279,55513762
280,55795804
281,55861091
282,56032004
283,56128596
284,56195424
285,56258011
286,56512283
287,56833040
288,57071357
289,57189043
290,57397787
291,58066571
292,58187547
293,58302639
294,58356277
295,58404408
296,58612836
297,58877493
298,59022341
299,59067037
300,59114894
301,59129646
302,59959206
303,60262120
304,60350174
305,60616280
306,60690803
307,60953425
308,61092611
309,61349409
310,62187521
311,62226344
312,62246389
313,62251897
314,62337965
315,62343664
316,62451929
317,62502011
318,63326489
319,63592015
320,63800394
321,64039963
322,64158538
323,64456795
324,64641736
325,64661697
326,64921968
327,65140698
328,65519363
329,65605800
330,65680476
331,65846894
332,66808174
333,67043659
334,67200690
335,67264106
336,67284424
337,67430172
338,67514417
339,67667182
340,67859849
341,67877957
342,68018273
343,68329984
344,68510919
345,68570191
346,68781818
347,69087361
348,69099917
349,69240785
350,69505425
351,69575108
352,69717127
353,70148205
354,70212598
355,70233667
356,70248434
357,70281076
358,70352864
359,70368256
360,70371792
361,70498946
362,70656126
363,70971584
364,71258514
365,71289595
366,71346968
367,71403828
368,71425015
369,71531064
370,71581704
371,71631111
372,71641159
373,71826076
374,71852567
375,71869368
376,72080548
377,72089310
378,72518256
379,72666515
380,72772575
381,72912390
382,73044936
383,73047856
384,73179025
385,73219403
386,73244234
387,73277086
388,73856804
389,73987788
390,74440142
391,74517407
392,75763194
393,75805171
394,75835301
395,76124641
396,76363369
397,76538305
398,76652297
399,76669812
400,76708169
401,76801195
402,77324119
403,77717078
404,77855822
405,78009797
406,78062293
407,78301823
408,78594644
409,78778357
410,79679013
411,79820931
412,80103510
413,80829168
414,81076894
415,81624463
416,81760697
417,81776048
418,81781731
419,81788752
420,81921435
421,81960117
422,82344400
423,82428566
424,82447626
425,82453922
426,83200650
427,83333341
428,83473843
429,83718478
430,83831748
431,83866462
432,83952068
433,84095617
434,84355150
435,84654677
436,84711144
437,85114916
438,85283203
439,85725567
440,86331136
441,86418940
442,86464249
443,86708287
444,86790924
445,86907798
446,87353613
447,87411229
448,87479249
449,87551785
450,88105194
451,88253082
452,88315242
453,88367704
454,88466451
455,88591412
456,88686558
457,89042387
458,89497128
459,89518656
460,89649021
461,89708143
462,89738629
463,90536044
464,90600592
465,90884620
466,91457687
467,91664011
468,91705225
469,91889215
470,92135577
471,92269894
472,92515008
473,92857721
474,93385474
475,93745145
476,93834243
477,94058197
478,94226774
479,94287252
480,94336152
481,94360875
482,94407749
483,94455331
484,94926883
485,95076346
486,95198903
487,96250500
488,97058072
489,97084939
490,97221708
491,97265317
492,97476433
493,97542360
494,97561294
495,97996261
496,98248335
497,98272964
498,98733554
499,98943706
500,99018800
501,99146731
502,99316422
503,99915665
504,99925942
505,99969800
506,100123585
507,100125801
508,100243421
509,100783904
510,100936211
511,100951670
512,101070584
513,101128995
514,101283022
515,101379520
516,102573150
517,102627006
518,102894907
519,103352279
520,103486933
521,103500919
522,103695429
523,104085643
524,104291390
525,104480581
526,104498789
527,104535002
528,105369736
529,105406760
530,106102634
531,106400655
532,106434251
533,106656547
534,106881674
535,106970302
536,107012476
537,107182627
538,107240930
539,107271494
540,107747368
541,107865868
542,107929522
543,107985300
544,108738319
545,109014226
546,109792538
547,109999893
548,111209820
549,111230323
550,111611230
551,111894345
552,111925090
553,111978235
554,111989353
555,112898501
556,113372288
557,113542420
558,113552553
559,113659457
560,113689148
561,114064573
562,114112014
563,114274175
564,114279583
565,116931941
566,117075662
567,117556804
568,117666446
569,117858069
570,117879754
571,117983056
572,118925234
573,119595898
574,119601692
575,119703851
576,121115148
577,121510338
578,121796694
579,122096206
580,122233837
581,122308518
582,122452944
583,122997159
584,123593515
585,124074443
586,124394553
587,124644997
588,125595806
589,125642376
590,125847365
591,126382223
592,127678198
593,127719822
594,127800861
595,128992048
596,129214043
597,130438753
598,130567901
599,130692772
600,131703003
601,131853210
602,132094108
603,132144230
604,132316631
605,132675370
606,132690930
607,132854115
608,133122413
609,133191864
610,133340636
611,133362567
612,133641243
613,133792638
614,133909869
615,133952777
616,134031978
617,134045811
618,134088022
619,134120187
620,134122593
621,134151087
622,134163734
623,134195592
624,134200478
625,134213029
626,134345220
627,134465100
628,134515541
629,134568540
630,134602080
631,134700992
632,134727423
633,134751988
634,134758535
635,134805725
636,134913125
637,134983974
638,135049522
639,135108297
640,135117137
641,135265787
642,135506716
643,135535218
644,135558473
645,135581569
646,135692716
647,135742825
648,135845283
649,135925009
650,135929256
651,136048784
652,136144787
